Frequency (MHz);Power (dBm)
6,36E+02;-65,6323
6,37E+02;-65,4103
6,37E+02;-65,4219
6,38E+02;-65,704
6,38E+02;-65,7992
6,39E+02;-65,9425
6,40E+02;-66,1299
6,40E+02;-65,5489
6,41E+02;-65,5355
6,41E+02;-65,618
6,42E+02;-65,88
6,43E+02;-65,6295
6,43E+02;-65,6968
6,44E+02;-66,1729
6,45E+02;-65,9698
6,45E+02;-65,7629
6,46E+02;-66,2508
6,46E+02;-66,1293
6,47E+02;-66,0527
6,48E+02;-66,171
6,48E+02;-66,2379
6,49E+02;-66,333
6,49E+02;-66,0519
6,50E+02;-65,8709
6,51E+02;-66,0037
6,51E+02;-65,8115
6,52E+02;-65,961
6,52E+02;-66,3003
6,53E+02;-66,4872
6,54E+02;-66,6413
6,54E+02;-66,3456
6,55E+02;-66,4065
6,56E+02;-66,2661
6,56E+02;-66,3016
6,57E+02;-66,2902
6,57E+02;-66,1705
6,58E+02;-66,1596
